Question Title,Difficulty,URL,Total Accepted,Total Submissions,Paid Only
Minimize the Maximum Edge Weight of Graph,Medium,https://leetcode.com/problems/minimize-the-maximum-edge-weight-of-graph/,10636,24627,No
Minimum Operations to Make Elements Within K Subarrays Equal,Hard,https://leetcode.com/problems/minimum-operations-to-make-elements-within-k-subarrays-equal/,2209,8345,No
Longest Subsequence With Decreasing Adjacent Difference,Medium,https://leetcode.com/problems/longest-subsequence-with-decreasing-adjacent-difference/,4779,33983,No
Maximum Coins From K Consecutive Bags,Medium,https://leetcode.com/problems/maximum-coins-from-k-consecutive-bags/,6645,28239,No
Maximum and Minimum Sums of at Most Size K Subsequences,Medium,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subsequences/,10454,49829,No
Frequencies of Shortest Supersequences,Hard,https://leetcode.com/problems/frequencies-of-shortest-supersequences/,1555,6344,No
Minimum Cost to Make Arrays Identical,Medium,https://leetcode.com/problems/minimum-cost-to-make-arrays-identical/,22383,61069,No
First Letter Capitalization II,Hard,https://leetcode.com/problems/first-letter-capitalization-ii/,3383,4382,No
Find Special Substring of Length K,Easy,https://leetcode.com/problems/find-special-substring-of-length-k/,35742,101101,No
Zigzag Grid Traversal With Skip,Easy,https://leetcode.com/problems/zigzag-grid-traversal-with-skip/,31486,49147,No
Smallest Substring With Identical Characters II,Hard,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii/,5525,13628,No
Find the Largest Almost Missing Integer,Easy,https://leetcode.com/problems/find-the-largest-almost-missing-integer/,29678,81399,No
Count Partitions with Even Sum Difference,Easy,https://leetcode.com/problems/count-partitions-with-even-sum-difference/,42710,53001,No
Maximum Subarray With Equal Products,Easy,https://leetcode.com/problems/maximum-subarray-with-equal-products/,23153,50478,No
Minimum Cost Good Caption,Hard,https://leetcode.com/problems/minimum-cost-good-caption/,2296,12038,No
Subsequences with a Unique Middle Mode I,Hard,https://leetcode.com/problems/subsequences-with-a-unique-middle-mode-i/,1844,11181,No
Count Special Subsequences,Medium,https://leetcode.com/problems/count-special-subsequences/,9392,33123,No
Minimum Increments for Target Multiples in an Array,Hard,https://leetcode.com/problems/minimum-increments-for-target-multiples-in-an-array/,5220,20382,No
Count Substrings Divisible By Last Digit,Hard,https://leetcode.com/problems/count-substrings-divisible-by-last-digit/,4741,22739,No
Shortest Matching Substring,Hard,https://leetcode.com/problems/shortest-matching-substring/,4969,20325,No
Minimum Operations to Make Columns Strictly Increasing,Easy,https://leetcode.com/problems/minimum-operations-to-make-columns-strictly-increasing/,31108,42578,No
Smallest Substring With Identical Characters I,Hard,https://leetcode.com/problems/smallest-substring-with-identical-characters-i/,5996,31862,No
Maximum Area Rectangle With Point Constraints II,Hard,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-ii/,2050,10229,No
Maximize Subarray Sum After Removing All Occurrences of One Element,Hard,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/,2566,12788,No
Longest Special Path,Hard,https://leetcode.com/problems/longest-special-path/,4332,21643,No
Count Beautiful Splits in an Array,Medium,https://leetcode.com/problems/count-beautiful-splits-in-an-array/,5425,34893,No
Count Subarrays of Length Three With a Condition,Easy,https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition/,30042,58183,No
Substring Matching Pattern,Easy,https://leetcode.com/problems/substring-matching-pattern/,27632,105027,No
Find the Lexicographically Largest String From the Box I,Medium,https://leetcode.com/problems/find-the-lexicographically-largest-string-from-the-box-i/,16507,69889,No
Count the Number of Arrays with K Matching Adjacent Elements,Hard,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements/,4842,12849,No
Maximum Area Rectangle With Point Constraints I,Medium,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-i/,12689,24934,No
Count Connected Components in LCM Graph,Hard,https://leetcode.com/problems/count-connected-components-in-lcm-graph/,3540,12874,No
Design Task Manager,Medium,https://leetcode.com/problems/design-task-manager/,13326,39050,No
Maximum Amount of Money Robot Can Earn,Medium,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn/,20119,67560,No
Smallest Number With All Set Bits,Easy,https://leetcode.com/problems/smallest-number-with-all-set-bits/,34782,46066,No
Maximize Sum of Weights after Edge Removals,Hard,https://leetcode.com/problems/maximize-sum-of-weights-after-edge-removals/,3234,11407,No
Count Non-Decreasing Subarrays After K Operations,Hard,https://leetcode.com/problems/count-non-decreasing-subarrays-after-k-operations/,2762,12733,No
Count Paths With the Given XOR Value,Medium,https://leetcode.com/problems/count-paths-with-the-given-xor-value/,18128,45709,No
Minimize the Maximum Adjacent Element Difference,Hard,https://leetcode.com/problems/minimize-the-maximum-adjacent-element-difference/,2090,13839,No
Check if Grid can be Cut into Sections,Medium,https://leetcode.com/problems/check-if-grid-can-be-cut-into-sections/,106558,154030,No
Minimum Number of Operations to Make Elements in Array Distinct,Easy,https://leetcode.com/problems/minimum-number-of-operations-to-make-elements-in-array-distinct/,33502,58351,No
Digit Operations to Make Two Integers Equal,Medium,https://leetcode.com/problems/digit-operations-to-make-two-integers-equal/,6859,22139,No
Minimum Array Sum,Medium,https://leetcode.com/problems/minimum-array-sum/,12859,44059,No
Maximum Subarray Sum With Length Divisible by K,Medium,https://leetcode.com/problems/maximum-subarray-sum-with-length-divisible-by-k/,11258,40493,No
Transformed Array,Easy,https://leetcode.com/problems/transformed-array/,30287,53897,No
Minimum Time to Break Locks I,Medium,https://leetcode.com/problems/minimum-time-to-break-locks-i/,11155,36845,No
Find the Maximum Number of Fruits Collected,Hard,https://leetcode.com/problems/find-the-maximum-number-of-fruits-collected/,3373,8622,No
Zero Array Transformation III,Medium,https://leetcode.com/problems/zero-array-transformation-iii/,6208,24124,No
Sum of Good Subsequences,Hard,https://leetcode.com/problems/sum-of-good-subsequences/,10239,34834,No
Maximize the Number of Target Nodes After Connecting Trees II,Hard,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-ii/,6038,11239,No
Minimum Positive Sum Subarray ,Easy,https://leetcode.com/problems/minimum-positive-sum-subarray/,31732,70252,No
Zero Array Transformation II,Medium,https://leetcode.com/problems/zero-array-transformation-ii/,118113,269534,No
Maximum Frequency of an Element After Performing Operations II,Hard,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/,8379,22527,No
Zero Array Transformation I,Medium,https://leetcode.com/problems/zero-array-transformation-i/,41145,90217,No
Minimum Operations to Make Character Frequencies Equal,Hard,https://leetcode.com/problems/minimum-operations-to-make-character-frequencies-equal/,3440,14276,No
Count Number of Balanced Permutations,Hard,https://leetcode.com/problems/count-number-of-balanced-permutations/,3951,25163,No
Check Balanced String,Easy,https://leetcode.com/problems/check-balanced-string/,53181,63302,No
Smallest Divisible Digit Product II,Hard,https://leetcode.com/problems/smallest-divisible-digit-product-ii/,2465,24998,No
Find Mirror Score of a String,Medium,https://leetcode.com/problems/find-mirror-score-of-a-string/,20697,57324,No
Maximize the Number of Target Nodes After Connecting Trees I,Medium,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-i/,9405,19629,No
Button with Longest Push Time,Easy,https://leetcode.com/problems/button-with-longest-push-time/,30740,76142,No
Count K-Reducible Numbers Less Than N,Hard,https://leetcode.com/problems/count-k-reducible-numbers-less-than-n/,3570,12728,No
Total Characters in String After Transformations II,Hard,https://leetcode.com/problems/total-characters-in-string-after-transformations-ii/,3768,11533,No
Total Characters in String After Transformations I,Medium,https://leetcode.com/problems/total-characters-in-string-after-transformations-i/,16118,61234,No
Find Minimum Time to Reach Last Room II,Medium,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-ii/,15766,31644,No
Find Minimum Time to Reach Last Room I,Medium,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i/,22361,62930,No
Smallest Divisible Digit Product I,Easy,https://leetcode.com/problems/smallest-divisible-digit-product-i/,31960,50097,No
Stone Removal Game,Easy,https://leetcode.com/problems/stone-removal-game/,26544,64187,No
Maximum Frequency of an Element After Performing Operations I,Medium,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-i/,13658,66375,No
Minimum Operations to Make Array Values Equal to K,Easy,https://leetcode.com/problems/minimum-operations-to-make-array-values-equal-to-k/,21712,41376,No
Maximum Number of Distinct Elements After Operations,Medium,https://leetcode.com/problems/maximum-number-of-distinct-elements-after-operations/,19208,61847,No
Adjacent Increasing Subarrays Detection II,Medium,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-ii/,22855,56217,No
Find the Original Typed String II,Hard,https://leetcode.com/problems/find-the-original-typed-string-ii/,2623,16190,No
Find the Original Typed String I,Easy,https://leetcode.com/problems/find-the-original-typed-string-i/,30988,55055,No
Make Array Elements Equal to Zero,Easy,https://leetcode.com/problems/make-array-elements-equal-to-zero/,26356,47699,No
Maximize Amount After Two Days of Conversions,Medium,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions/,13417,22469,No
Adjacent Increasing Subarrays Detection I,Easy,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-i/,34876,87824,No
Construct the Minimum Bitwise Array II,Medium,https://leetcode.com/problems/construct-the-minimum-bitwise-array-ii/,15241,44183,No
Find X-Sum of All K-Long Subarrays I,Easy,https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-i/,31299,49429,No
Find the Number of Subsequences With Equal GCD,Hard,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd/,6122,16209,No
Minimum Division Operations to Make Array Non Decreasing,Medium,https://leetcode.com/problems/minimum-division-operations-to-make-array-non-decreasing/,21252,74943,No
Minimum Element After Replacement With Digit Sum,Easy,https://leetcode.com/problems/minimum-element-after-replacement-with-digit-sum/,53836,64657,No
Construct the Minimum Bitwise Array I,Easy,https://leetcode.com/problems/construct-the-minimum-bitwise-array-i/,27679,37564,No
Find the Number of Possible Ways for an Event,Hard,https://leetcode.com/problems/find-the-number-of-possible-ways-for-an-event/,4459,13666,No
Check if DFS Strings Are Palindromes,Hard,https://leetcode.com/problems/check-if-dfs-strings-are-palindromes/,5259,25502,No
Find the K-th Character in String Game II,Hard,https://leetcode.com/problems/find-the-k-th-character-in-string-game-ii/,8968,31033,No
Find the K-th Character in String Game I,Easy,https://leetcode.com/problems/find-the-k-th-character-in-string-game-i/,54270,74702,No
Rearrange K Substrings to Form Target String,Medium,https://leetcode.com/problems/rearrange-k-substrings-to-form-target-string/,21137,40584,No
Identify the Largest Outlier in an Array,Medium,https://leetcode.com/problems/identify-the-largest-outlier-in-an-array/,42070,121738,No
Find the Maximum Factor Score of Array,Medium,https://leetcode.com/problems/find-the-maximum-factor-score-of-array/,21721,54093,No
Find X-Sum of All K-Long Subarrays II,Hard,https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-ii/,3981,25745,No
Shift Distance Between Two Strings,Medium,https://leetcode.com/problems/shift-distance-between-two-strings/,14951,28532,No
Count The Number of Winning Sequences,Hard,https://leetcode.com/problems/count-the-number-of-winning-sequences/,9341,29643,No
Maximum Points Tourist Can Earn,Medium,https://leetcode.com/problems/maximum-points-tourist-can-earn/,12421,25071,No
Find the Lexicographically Smallest Valid Sequence,Medium,https://leetcode.com/problems/find-the-lexicographically-smallest-valid-sequence/,6153,30859,No
Sorted GCD Pair Queries,Hard,https://leetcode.com/problems/sorted-gcd-pair-queries/,4558,22943,No
Find Indices of Stable Mountains,Easy,https://leetcode.com/problems/find-indices-of-stable-mountains/,52129,60751,No
The Two Sneaky Numbers of Digitville,Easy,https://leetcode.com/problems/the-two-sneaky-numbers-of-digitville/,84666,96027,No
Find the Occurrence of First Almost Equal Substring,Hard,https://leetcode.com/problems/find-the-occurrence-of-first-almost-equal-substring/,4068,30507,No
Maximum Possible Number by Binary Concatenation,Medium,https://leetcode.com/problems/maximum-possible-number-by-binary-concatenation/,33824,52109,No
Construct 2D Grid Matching Graph Layout,Hard,https://leetcode.com/problems/construct-2d-grid-matching-graph-layout/,3687,12780,No
Find Subtree Sizes After Changes,Medium,https://leetcode.com/problems/find-subtree-sizes-after-changes/,14848,27235,No
Find the Maximum Sequence Value of Array,Hard,https://leetcode.com/problems/find-the-maximum-sequence-value-of-array/,4533,24960,No
Count Substrings That Can Be Rearranged to Contain a String I,Medium,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-i/,16923,41166,No
Count Substrings That Can Be Rearranged to Contain a String II,Hard,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-ii/,14828,26804,No
Length of the Longest Increasing Path,Hard,https://leetcode.com/problems/length-of-the-longest-increasing-path/,4644,27785,No
Count of Substrings Containing Every Vowel and K Consonants I,Medium,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-i/,29155,71159,No
Count of Substrings Containing Every Vowel and K Consonants II,Medium,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-ii/,107991,265127,No
Find the Key of the Numbers,Easy,https://leetcode.com/problems/find-the-key-of-the-numbers/,45284,59662,No
Convert Date to Binary,Easy,https://leetcode.com/problems/convert-date-to-binary/,63099,71115,No
Find the Sequence of Strings Appeared on the Screen,Medium,https://leetcode.com/problems/find-the-sequence-of-strings-appeared-on-the-screen/,36899,46703,No
Select Cells in Grid With Maximum Score,Hard,https://leetcode.com/problems/select-cells-in-grid-with-maximum-score/,10579,74218,No
Maximum Score of Non-overlapping Intervals,Hard,https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals/,3108,9656,No
Remove Methods From Project,Medium,https://leetcode.com/problems/remove-methods-from-project/,23207,47376,No
Maximum Number of Moves to Kill All Pawns,Hard,https://leetcode.com/problems/maximum-number-of-moves-to-kill-all-pawns/,6118,19202,No
Minimum Number of Valid Strings to Form Target I,Medium,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i/,11910,60932,No
Find a Safe Walk Through a Grid,Medium,https://leetcode.com/problems/find-a-safe-walk-through-a-grid/,28078,94163,No
Minimum Number of Valid Strings to Form Target II,Hard,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-ii/,4186,23521,No
Final Array State After K Multiplication Operations II,Hard,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-ii/,9313,80175,No
Final Array State After K Multiplication Operations I,Easy,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-i/,179852,206318,No
Check if Two Chessboard Squares Have the Same Color,Easy,https://leetcode.com/problems/check-if-two-chessboard-squares-have-the-same-color/,56101,79234,No
Find the Largest Palindrome Divisible by K,Hard,https://leetcode.com/problems/find-the-largest-palindrome-divisible-by-k/,7583,49980,No
Maximum XOR Score Subarray Queries,Hard,https://leetcode.com/problems/maximum-xor-score-subarray-queries/,4656,11192,No
Maximum Value Sum by Placing Three Rooks I,Hard,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-i/,8314,55664,No
Find the Count of Good Integers,Hard,https://leetcode.com/problems/find-the-count-of-good-integers/,5321,17301,No
Count Substrings That Satisfy K-Constraint II,Hard,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-ii/,4776,22585,No
Count Almost Equal Pairs II,Hard,https://leetcode.com/problems/count-almost-equal-pairs-ii/,5905,28258,No
Count Substrings That Satisfy K-Constraint I,Easy,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-i/,46403,59834,No
Maximum Value Sum by Placing Three Rooks II,Hard,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-ii/,4842,18441,No
Report Spam Message,Medium,https://leetcode.com/problems/report-spam-message/,50499,106682,No
Hash Divided String,Medium,https://leetcode.com/problems/hash-divided-string/,42433,51197,No
Find the Count of Monotonic Pairs II,Hard,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii/,6750,29876,No
Find the Count of Monotonic Pairs I,Hard,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i/,17046,37563,No
Count Almost Equal Pairs I,Medium,https://leetcode.com/problems/count-almost-equal-pairs-i/,26888,72008,No
Snake in Matrix,Easy,https://leetcode.com/problems/snake-in-matrix/,62608,76905,No
Time Taken to Mark All Nodes,Hard,https://leetcode.com/problems/time-taken-to-mark-all-nodes/,4877,20569,No
Minimum Amount of Damage Dealt to Bob,Hard,https://leetcode.com/problems/minimum-amount-of-damage-dealt-to-bob/,12176,32401,No
Odd and Even Transactions,Medium,https://leetcode.com/problems/odd-and-even-transactions/,14658,20963,No
Reach End of Array With Max Score,Medium,https://leetcode.com/problems/reach-end-of-array-with-max-score/,25822,79642,No
Alternating Groups III,Hard,https://leetcode.com/problems/alternating-groups-iii/,1883,13066,No
Minimum Number of Flips to Make Binary Grid Palindromic I,Medium,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-i/,35297,47611,No
Maximum Energy Boost From Two Drinks,Medium,https://leetcode.com/problems/maximum-energy-boost-from-two-drinks/,32313,65769,No
Minimum Number of Flips to Make Binary Grid Palindromic II,Medium,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-ii/,10769,45451,No
Find the Power of K-Size Subarrays II,Medium,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-ii/,28655,98896,No
Find the Power of K-Size Subarrays I,Medium,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-i/,142824,228345,No
Find the Number of Winning Players,Easy,https://leetcode.com/problems/find-the-number-of-winning-players/,42619,71545,No
Maximum Multiplication Score,Medium,https://leetcode.com/problems/maximum-multiplication-score/,33515,81991,No
Shortest Distance After Road Addition Queries I,Medium,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-i/,109896,177025,No
Design Neighbor Sum Service,Easy,https://leetcode.com/problems/design-neighbor-sum-service/,39851,48242,No
Find if Digit Game Can Be Won,Easy,https://leetcode.com/problems/find-if-digit-game-can-be-won/,78902,97295,No
Shortest Distance After Road Addition Queries II,Hard,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-ii/,13229,52905,No
Find the Winning Player in Coin Game,Easy,https://leetcode.com/problems/find-the-winning-player-in-coin-game/,45304,86566,No
Maximize the Total Height of Unique Towers,Medium,https://leetcode.com/problems/maximize-the-total-height-of-unique-towers/,31239,86602,No
K-th Largest Perfect Subtree Size in Binary Tree,Medium,https://leetcode.com/problems/k-th-largest-perfect-subtree-size-in-binary-tree/,23334,38408,No
Number of Bit Changes to Make Two Integers Equal,Easy,https://leetcode.com/problems/number-of-bit-changes-to-make-two-integers-equal/,45806,71911,No
Find the Count of Numbers Which Are Not Special,Medium,https://leetcode.com/problems/find-the-count-of-numbers-which-are-not-special/,34604,129199,No
Count Substrings With K-Frequency Characters I,Medium,https://leetcode.com/problems/count-substrings-with-k-frequency-characters-i/,30840,56851,No
Delete Nodes From Linked List Present in Array,Medium,https://leetcode.com/problems/delete-nodes-from-linked-list-present-in-array/,189032,278121,No
Minimum Cost for Cutting Cake II,Hard,https://leetcode.com/problems/minimum-cost-for-cutting-cake-ii/,22019,40411,No
Minimum Array Changes to Make Differences Equal,Medium,https://leetcode.com/problems/minimum-array-changes-to-make-differences-equal/,13727,59579,No
Minimum Number of Seconds to Make Mountain Height Zero,Medium,https://leetcode.com/problems/minimum-number-of-seconds-to-make-mountain-height-zero/,22685,63682,No
K-th Nearest Obstacle Queries,Medium,https://leetcode.com/problems/k-th-nearest-obstacle-queries/,32824,68586,No
Minimum Cost for Cutting Cake I,Medium,https://leetcode.com/problems/minimum-cost-for-cutting-cake-i/,28044,48850,No
Maximum Number of Operations to Move Ones to the End,Medium,https://leetcode.com/problems/maximum-number-of-operations-to-move-ones-to-the-end/,29833,56355,No
Count Submatrices With Equal Frequency of X and Y,Medium,https://leetcode.com/problems/count-submatrices-with-equal-frequency-of-x-and-y/,24372,48433,No
Find the Maximum Length of Valid Subsequence II,Medium,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-ii/,19087,48557,No
Find the Maximum Length of Valid Subsequence I,Medium,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-i/,28185,75209,No
Find Maximum Removals From Source String,Medium,https://leetcode.com/problems/find-maximum-removals-from-source-string/,10066,26074,No
Count the Number of Good Nodes,Medium,https://leetcode.com/problems/count-the-number-of-good-nodes/,28038,51512,No
Maximize Score of Numbers in Ranges,Medium,https://leetcode.com/problems/maximize-score-of-numbers-in-ranges/,20940,61083,No
Lexicographically Smallest String After a Swap,Easy,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap/,49692,92980,No
Alternating Groups II,Medium,https://leetcode.com/problems/alternating-groups-ii/,148761,248666,No
Construct String with Minimum Cost,Hard,https://leetcode.com/problems/construct-string-with-minimum-cost/,12159,63142,No
